X,Y,fid,Name,X_ADDR,ADDRESSFLOORNUMBER,Address_Type,PHOTOURL,Y_ADDR,ADDRESSBUILDINGNAME,HYPERLINK,LANDYADDRESSPOINT,INC_CRC,SHAPE,ADDRESSPOSTALCODE,FMEL_UPD_D,ADDRESSSTREETNAME,ADDRESSUNITNUMBER,LANDXADDRESSPOINT,ADDRESSBLOCKHOUSENUMBER,DESCRIPTION
103.855369790045,1.36276891777401,HAWKERCENTRE.45,Blk 409 Ang Mo Kio Ave 10,30454.04,,,,38313.5899,,,38313.59,6728AD94ED51E8C6,Point,560409,11/4/2016 2:23:25 PM,Ang Mo Kio Ave 10,,30454.04,409,HUP Standard Upgrading
103.856351437414,1.36824049310016,HAWKERCENTRE.46,Blk 453A Ang Mo Kio Ave 10,30563.28,,,,38918.6099,,,38918.61,D0070B678CBAC6F1,Point,561453,11/4/2016 2:23:25 PM,Ang Mo Kio Ave 10,,30563.28,453A,HUP Standard Upgrading
103.870004415152,1.32146226027095,HAWKERCENTRE.47,Blk 69 Geylang Bahru,32082.7699,,,,33746.13,,,33746.13,1CDA7137A5D2B51E,Point,330069,4/10/2017 6:09:18 PM,Geylang Bahru,,32082.77,69,Opted out of HUP
103.854482811591,1.37276992816903,HAWKERCENTRE.48,Blk 527 Ang Mo Kio Ave 10,30355.32,,,,39419.4499,,,39419.45,4658734052B398E9,Point,560527,4/11/2017 10:49:15 AM,Ang Mo Kio Ave 10,,30355.32,527,HUP Reconfiguration
103.924844235398,1.33178125123314,HAWKERCENTRE.49,Blk 538 Bedok North Street 3,38185.86,,,,34887.31,,,34887.31,F1A5DD5A5D633AC2,Point,460538,4/11/2017 10:49:15 AM,Bedok North Street 3,,38185.86,538,HUP Standard Upgrading
103.94113237262,1.32418782817992,HAWKERCENTRE.50,Blk 58 New Upper Changi Road,39998.5999,,,,34047.74,,,34047.74,57B99402BD65D7D4,Point,461058,4/11/2017 10:49:15 AM,New Upper Changi Road,,39998.6,58,HUP Standard Upgrading
103.843166992138,1.27661461066461,HAWKERCENTRE.51,Blk 6 Tanjong Pagar Plaza,29096.0499,,,,28787.08,,,28787.08,90C2DF39B4E4EA89,Point,81006,4/11/2017 10:49:15 AM,Tanjong Pagar Plaza,,29096.05,6,HUP Standard Upgrading
103.840682307297,1.38102486670541,HAWKERCENTRE.52,Blk 628 Ang Mo Kio Ave 4,28819.49,,,,40332.23,,,40332.23,CE6A36B4141480B7,Point,560628,4/11/2017 10:49:15 AM,Ang Mo Kio Ave 4,,28819.49,628,HUP Rebuilding
103.91405388831,1.33315924777403,HAWKERCENTRE.53,Blk 630 Bedok Reservoir Road,36985,,,,35039.64,,,35039.64,BBA7FF2B0FF1EE8F,Point,470630,4/11/2017 10:49:15 AM,Bedok Reservoir Road,,36985,630,HUP Rebuilding
103.805636386821,1.31624573118457,HAWKERCENTRE.54,Blk 7 Empress Road,24919.24,,,,33169.3,,,33169.3,2DAAEFC7B5672C00,Point,260007,4/11/2017 10:49:15 AM,Empress Road,,24919.24,7,HUP Standard Upgrading
103.846519219268,1.3721974327005,HAWKERCENTRE.55,Blk 724 Ang Mo Kio Ave 6,29469.07,,,,39356.14,,,39356.14,8285869D959B4769,Point,560724,4/11/2017 10:49:15 AM,Ang Mo Kio Ave 6,,29469.07,724,HUP Reconfiguration
103.764264410293,1.30378197267211,HAWKERCENTRE.56,Blk 726 Clementi West Street 2,20314.9,,,,31791.21,,,31791.21,3B5F054B509AB58B,Point,120726,4/11/2017 10:49:15 AM,Clementi West Street 2,,20314.9,726,HUP Standard Upgrading
103.851999137527,1.33454816495696,HAWKERCENTRE.57,Blk 74 Toa Payoh Lorong 4,30078.95,,,,35193.08,,,35193.08,0F387A4A3713F7A1,Point,310074,4/11/2017 10:49:15 AM,Lorong 4 Toa Payoh,,30078.95,74,HUP Reconfiguration
103.850028715295,1.28386703896347,HAWKERCENTRE.58,Market Street Food Centre,29859.7,,,,29589.0199,Golden Shoe Multi-Storey Carpark,,29589.02,7392BB697E02EA1D,Point,48940,4/11/2017 10:49:15 AM,Market Street,,29859.7,50,HUP Standard Upgrading
103.844827863123,1.28011223513339,HAWKERCENTRE.59,Maxwell Food Centre,29280.8899,,,,29173.83,,,29173.83,FE75522D97DFBB7F,Point,69184,4/11/2017 10:49:15 AM,Kadayanallur Street,,29280.89,1,Upgraded prior to HUP
103.839562687644,1.31189235691742,HAWKERCENTRE.60,Newton Food Centre,28694.91,,,,32687.91,,,32687.91,A3E97849FF6F3FE8,Point,229495,4/11/2017 10:49:15 AM,Clemenceau Ave North,,28694.91,500,HUP Standard Upgrading
103.863891012338,1.30576537802859,HAWKERCENTRE.61,North Bridge Road Market & Food Centre,31402.4299,,,,32010.4399,,,32010.44,3B33AC4C585FF4FB,Point,198783,4/11/2017 10:49:15 AM,North Bridge Road,,31402.43,861,HUP Reconfiguration
103.791402660553,1.27590752450341,HAWKERCENTRE.62,Pasir Panjang Food Centre,23335.0899,,,,28708.9299,,,28708.93,311FCFFEDE0AD26E,Point,118543,4/11/2017 10:49:15 AM,Pasir Panjang Road,,23335.09,121,HUP Standard Upgrading
103.866737484646,1.36315712011148,HAWKERCENTRE.63,Serangoon Garden Market,31719.1299,,,,38356.5299,,,38356.53,F3EA4B58F14BBECB,Point,555945,4/11/2017 10:49:15 AM,Serangoon Garden Way,,31719.13,49A,HUP Rebuilding
